TIPO,RESIDENCIA,Criterio2,importe_individual,clave_criticidad
MEDICA,CLINICA MEDICA,Alta.1,670032,MEDICAAlta.1
MEDICA,CUIDADOS CRITICOS CARDIOVASCULARES PEDIATRICOS,Alta.1,670032,MEDICAAlta.1
MEDICA,EMERGENTOLOGIA,Alta.1,670032,MEDICAAlta.1
MEDICA,MEDICINA GENERAL,Alta.1,670032,MEDICAAlta.1
MEDICA,MEDICINA INTERNA PEDIATRICA,Alta.1,670032,MEDICAAlta.1
MEDICA,NEONATOLOGIA,Alta.1,670032,MEDICAAlta.1
MEDICA,PEDIATRIA,Alta.1,670032,MEDICAAlta.1
MEDICA,PEDIATRIA ARTICULADA CON NEONATOLOGIA,Alta.1,670032,MEDICAAlta.1
MEDICA,TERAPIA INTENSIVA ADULTOS,Alta.1,670032,MEDICAAlta.1
MEDICA,TERAPIA INTENSIVA INFANTIL,Alta.1,670032,MEDICAAlta.1
MEDICA,TOCOGINECOLOGIA,Alta.1,670032,MEDICAAlta.1
MEDICA,ANESTESIOLOGIA,Alta.2,609120,MEDICAAlta.2
MEDICA,CARDIOLOGIA,Alta.2,609120,MEDICAAlta.2
MEDICA,CARDIOLOGIA INFANTIL,Alta.2,609120,MEDICAAlta.2
MEDICA,NEUROCIRUGIA,Alta.2,609120,MEDICAAlta.2
MEDICA,NEUROLOGIA,Alta.2,609120,MEDICAAlta.2
MEDICA,CIRUGIA GENERAL,Alta.2,609120,MEDICAAlta.2
MEDICA,CIRUGIA INFANTIL,Alta.2,609120,MEDICAAlta.2
MEDICA,ORTOPEDIA Y TRAUMATOLOGIA,Alta.2,609120,MEDICAAlta.2
MEDICA,DIAGNOSTICO POR IMAGENES,Intermedia.1,548208,MEDICAIntermedia.1
MEDICA,NEUMONOLOGIA INFANTIL,Intermedia.1,548208,MEDICAIntermedia.1
MEDICA,ONCOLOGIA PEDIATRICA,Intermedia.1,548208,MEDICAIntermedia.1
MEDICA,UROLOGIA,Intermedia.1,548208,MEDICAIntermedia.1
MEDICA,UROLOGIA PEDIATRICA,Intermedia.1,548208,MEDICAIntermedia.1
MEDICA,CUIDADOS PALIATIVOS PEDIATRICOS,Intermedia. 2,487296,MEDICAIntermedia. 2
MEDICA,CIRUGIA CARDIOVASCULAR PEDIATRICA,Intermedia. 2,487296,MEDICAIntermedia. 2
MEDICA,CIRUGIA DE TORAX,Baja.1,456840,MEDICABaja.1
MEDICA,OFTALMOLOGIA,Baja.1,456840,MEDICABaja.1
MEDICA,OTORRINOLARINGOLOGIA,Baja.1,456840,MEDICABaja.1
MEDICA,"ANGIOLOGIA, HEMODINAMIA Y CARDIOLOGIA INTERVENCIONISTA",Baja.2,395928,MEDICABaja.2
MEDICA,GERIATRIA Y GERONTOLOGIA MEDICA,Baja.2,395928,MEDICABaja.2
MEDICA,NEFROLOGIA,Baja.2,395928,MEDICABaja.2
MEDICA,ANATOMIA PATOLOGICA,Muy baja,365472,MEDICAMuy baja
MEDICA,CIRUGIA DE CABEZA Y CUELLO,Muy baja,365472,MEDICAMuy baja
MEDICA,ENDOCRINOLOGIA,Muy baja,365472,MEDICAMuy baja
MEDICA,GASTROENTEROLOGIA,Muy baja,365472,MEDICAMuy baja
MEDICA,NEUMONOLOGIA,Muy baja,365472,MEDICAMuy baja
MEDICA,DERMATOLOGIA CLINICA,Muy baja,365472,MEDICAMuy baja
MEDICA,"HEMOTERAPIA, INMUNOPATOLOGIA Y TERAPIA CELULAR",Muy baja,365472,MEDICAMuy baja
MEDICA,INFECTOLOGIA PEDIATRICA (MEDICA),Muy baja,365472,MEDICAMuy baja
MEDICA,INFECTOLOGIA,Muy baja,365472,MEDICAMuy baja
MEDICA,ONCOLOGIA,Muy baja,365472,MEDICAMuy baja
MEDICA,INTERDISCIPLINARIA EN SALUD MENTAL INFANTO JUVENIL (MEDICO),Básico,304560,MEDICABásico
MEDICA,DROGADEPENDENCIA (MEDICA),Básico,304560,MEDICABásico
MEDICA,DERMATOLOGIA PEDIATRICA,Básico,304560,MEDICABásico
MEDICA,ENDOCRINOLOGIA INFANTIL,Básico,304560,MEDICABásico
MEDICA,NEFROLOGIA PEDIATRICA,Básico,304560,MEDICABásico
MEDICA,FISIATRIA,Básico,304560,MEDICABásico
MEDICA,HEMATOLOGIA,Básico,304560,MEDICABásico
MEDICA,MASTOLOGIA,Básico,304560,MEDICABásico
MEDICA,PSIQUIATRIA,Básico,304560,MEDICABásico
MEDICA,REUMATOLOGIA,Básico,304560,MEDICABásico
NO MÉDICA,ENFERMERIA COMUNITARIA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA DEL ADULTO Y EL ANCIANO,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA EN CARDIOLOGIA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA EN CUIDADOS INTENSIVOS DEL ADULTO,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA EN EMERGENTOLOGIA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA EN NEONATOLOGIA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA EN SALUD PUBLICA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA EN TERAPIA INTENSIVA INFANTIL,Alta,399600,NO MEDICAAlta
NO MÉDICA,PEDIATRIA CLINICA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA PEDIATRICA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA QUIRURGICA DEL ADULTO,Alta,399600,NO MEDICAAlta
NO MÉDICA,OBSTETRICIA,Alta,399600,NO MEDICAAlta
NO MÉDICA,ENFERMERIA EN EMERGENCIAS Y DESASTRES,Alta,399600,NO MEDICAAlta
NO MÉDICA,BIOQUIMICA CLINICA,Intermedia,297000,NO MEDICAIntermedia
NO MÉDICA,KINESIOLOGIA GENERAL,Intermedia,297000,NO MEDICAIntermedia
NO MÉDICA,ODONTOLOGIA GENERAL,Intermedia,297000,NO MEDICAIntermedia
NO MÉDICA,PSICOLOGIA CLINICA,Intermedia,297000,NO MEDICAIntermedia
NO MÉDICA,DROGADEPENDENCIA,Muy baja,216000,NO MEDICAMuy baja
NO MÉDICA,INTERDISCIPLINARIA EN SALUD MENTAL INFANTO JUVENIL,Muy baja,216000,NO MEDICAMuy baja
NO MÉDICA,ENFERMERIA EN SALUD MENTAL,Muy baja,216000,NO MEDICAMuy baja
NO MÉDICA,EPIDEMIOLOGIA DE CAMPO APLICADA A LA SALUD PUBLICA,Básico,216000,NO MEDICABásico
NO MÉDICA,INGENIERIA CLINICA,Básico,216000,NO MEDICABásico
NO MÉDICA,TERAPIA OCUPACIONAL,Básico,216000,NO MEDICABásico
NO MÉDICA,FONOAUDIOLOGIA,Básico,216000,NO MEDICABásico
NO MÉDICA,TRABAJO SOCIAL EN SALUD,Básico,216000,NO MEDICABásico
